sample-ID,site,block,plot,trt,cover_crop
G74,Greenhouse,2,12,19,Morton winter lentil
G75,Greenhouse,3,94,19,Morton winter lentil
G76,Greenhouse,4,21,19,Morton winter lentil
Gcontrol1,Greenhouse,0,0,0,Original soil
Gcontrol2,Greenhouse,0,0,0,Original soil
Gcontrol3,Greenhouse,0,0,0,Original soil
G21,Greenhouse,1,18,6,Perennial Ryegrass
G22,Greenhouse,2,9,6,Perennial Ryegrass
G23,Greenhouse,3,48,6,Perennial Ryegrass
G24,Greenhouse,4,69,6,Perennial Ryegrass
G25,Greenhouse,1,63,7,Pubescent Wheatgrass
G26,Greenhouse,2,87,7,Pubescent Wheatgrass
G27,Greenhouse,3,52,7,Pubescent Wheatgrass
G28,Greenhouse,4,26,7,Pubescent Wheatgrass
G5,Greenhouse,1,79,2,Red Fescue
G6,Greenhouse,2,86,2,Red Fescue
G7,Greenhouse,3,5,2,Red Fescue
G8,Greenhouse,4,76,2,Red Fescue
G9,Greenhouse,1,81,3,Sheep Fescue
G10,Greenhouse,2,59,3,Sheep Fescue
G11,Greenhouse,3,6,3,Sheep Fescue
G12,Greenhouse,4,27,3,Sheep Fescue
G77,Greenhouse,1,84,20,Spring Lentil
G78,Greenhouse,2,38,20,Spring Lentil
G79,Greenhouse,3,54,20,Spring Lentil
G80,Greenhouse,4,67,20,Spring Lentil
G13,Greenhouse,1,31,4,Tall Fescue
G14,Greenhouse,2,37,4,Tall Fescue
G15,Greenhouse,3,4,4,Tall Fescue
G16,Greenhouse,4,71,4,Tall Fescue
G81,Greenhouse,1,82,21,White Mustard
G82,Greenhouse,2,57,21,White Mustard
G83,Greenhouse,3,3,21,White Mustard
G84,Greenhouse,4,74,21,White Mustard
G61,Greenhouse,1,13,16,Winfred Brassica
G62,Greenhouse,2,55,16,Winfred Brassica
G63,Greenhouse,3,2,16,Winfred Brassica
G64,Greenhouse,4,25,16,Winfred Brassica
G57,Greenhouse,1,35,15,Winter peas
G58,Greenhouse,2,89,15,Winter peas
G59,Greenhouse,3,47,15,Winter peas
G60,Greenhouse,4,20,15,Winter peas
